LOC_NAME,locale_code,restaurants,chinese,avg_ch_pct,avg_distance,restaurants_per_100chppl,rest_simplified
Large City,11,15629.0,1519166.0,2.496642626212385,0.9,1.028788164032107,1
Midsize City,12,4855.0,332138.0,1.3338043094312964,1.2,1.4617418061167347,1.5
Small City,13,5337.0,295340.0,1.1984272128749085,1.3,1.8070698178370692,2
Large Suburban,21,20133.0,1560510.0,1.4618260181194476,1.5,1.290155141588327,1.5
Midsize Suburban,22,1572.0,56355.0,0.5755248335893497,2.0,2.7894596752728242,3
Small Suburban,23,931.0,22636.0,0.5148514851485149,2.2,4.112917476585969,4
Fringe Town,31,1565.0,15144.0,0.29411764705882354,2.3,10.334125726360273,10
Distant Town,32,2763.0,17445.0,0.257360959651036,2.2,15.83834909716251,16
Remote Town,33,1413.0,10723.0,0.2642073778664008,3.4,13.177282476918773,13
Fringe Rural,41,1281.0,303442.0,0.442299123718996,5.2,0.42215645823584075,0.5
Distant Rural,42,1297.0,39045.0,0.09895833333333333,12.9,3.321808170060187,3
Remote Rural,43,702.0,8046.0,0.060636431971936855,27.9,8.724832214765101,9
