state,restaurants_per_tract,population,chinese
Alabama,0.8235294117647058,179216.0,296
Alaska,1.0,49486.0,261
Arizona,0.5172413793103449,226222.0,348
Arkansas,0.7678571428571429,193183.0,124
California,0.7827715355805244,1158349.0,4022
Colorado,0.6226415094339622,203296.0,487
Connecticut,0.9696969696969697,0.0,0
Delaware,0.6842105263157895,119835.0,295
Florida,1.0,276103.0,402
Georgia,1.0113636363636365,341079.0,321
Hawaii,1.103448275862069,114555.0,11781
Idaho,0.6818181818181818,117048.0,378
Illinois,0.785234899328859,522347.0,692
Indiana,0.7966101694915254,467627.0,215
Iowa,0.8514851485148515,376524.0,351
Kansas,0.7888888888888889,328281.0,379
Kentucky,0.7052631578947368,322862.0,100
Louisiana,0.6086956521739131,209996.0,189
Maine,1.5625,57205.0,297
Maryland,0.8222222222222222,183717.0,1359
Massachusetts,0.6666666666666666,109571.0,199
Michigan,0.6594202898550725,484352.0,535
Minnesota,0.7,441827.0,376
Mississippi,0.6355140186915887,348865.0,681
Missouri,1.1081081081081081,436300.0,693
Montana,0.6666666666666666,89769.0,26
Nebraska,0.5833333333333334,146036.0,208
Nevada,0.46875,104780.0,313
New Hampshire,1.2777777777777777,69896.0,795
New Jersey,1.2195121951219512,157291.0,723
New Mexico,0.5806451612903226,218678.0,183
New York,0.7938144329896907,611515.0,2040
North Carolina,0.8787878787878788,615508.0,687
North Dakota,1.0,48695.0,0
Ohio,0.8481675392670157,720985.0,1731
Oklahoma,0.75,359367.0,999
Oregon,1.353658536585366,369240.0,1227
Pennsylvania,0.8432203389830508,765829.0,1698
Rhode Island,1.6666666666666667,13182.0,240
South Carolina,1.1864406779661016,217071.0,310
South Dakota,0.68,105455.0,274
Tennessee,0.9397590361445783,343220.0,314
Texas,0.7269503546099291,1131836.0,803
Utah,0.6363636363636364,136335.0,362
Vermont,1.588235294117647,62401.0,90
Virginia,0.8051948051948052,262074.0,568
Washington,0.6956521739130435,340652.0,2372
West Virginia,0.6785714285714286,89618.0,131
Wisconsin,0.811965811965812,480251.0,592
Wyoming,0.7368421052631579,65349.0,282
